127.0.0.1 - - [02/Jan/2018:10:09:17 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:24 +0800] "GET /lsq-spring-boot-mybatis-1.1/ HTTP/1.1" 200 21377
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/css/styles.css HTTP/1.1" 200 10369
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/css/animate.min.css HTTP/1.1" 200 55844
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/deer.jpg HTTP/1.1" 200 235299
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/beach.jpg HTTP/1.1" 200 330067
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/lake.jpg HTTP/1.1" 200 167991
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/js/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/colors.jpg HTTP/1.1" 200 460355
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/js/jquery.easing.min.js HTTP/1.1" 200 5555
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/js/scripts.js HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/city.jpg HTTP/1.1" 200 294726
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:09:25 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/assets/bike.jpg HTTP/1.1" 200 767946
