127.0.0.1 - - [26/Oct/2016:17:27:55 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:47 +0800] "GET /LinTest/yearbaobiao HTTP/1.1" 200 13701
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:47 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:48 +0800] "GET /LinTest/static/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:48 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/sample%20in%20bootstrap%20v3/jquery/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:48 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.fr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:48 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:48 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:48 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:48 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:55 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474133546 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:28:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:21 +0800] "GET /LinTest/yue HTTP/1.1" 200 14697
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:21 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:21 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:21 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474161339 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:22 +0800] "GET /LinTest/yearbaobiao HTTP/1.1" 200 13701
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:22 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:22 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474162771 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:23 +0800] "GET /LinTest/yue HTTP/1.1" 200 14697
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:23 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:23 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:23 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474163839 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:26 +0800] "GET /LinTest/yue HTTP/1.1" 200 14697
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:29:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
