127.0.0.1 - - [20/Dec/2016:15:09:05 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:09:20 +0800] "GET /LinTest/index HTTP/1.1" 200 10985
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:09:20 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1482217760910 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:09:20 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:09:24 +0800] "GET /LinTest/blog HTTP/1.1" 200 13155
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:09:24 +0800] "GET /LinTest/static/css/blog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:09:24 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:09:24 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:09:24 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:09:24 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:18:32 +0800] "GET /LinTest/blog?num=40 HTTP/1.1" 200 39757
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:18:32 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:18:32 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:18:32 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [20/Dec/2016:15:19:10 +0800] "GET /LinTest/blog/jxwechat HTTP/1.1" 200 28011
