127.0.0.1 - - [07/Feb/2017:10:38:06 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:16 +0800] "GET /LinTest/index HTTP/1.1" 200 10998
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:17 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435097377 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:17 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:21 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 17482
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:21 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:21 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435101541 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:45 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2017 HTTP/1.1" 200 16665
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:45 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:45 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:46 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435126035 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:53 +0800] "GET /LinTest/table/xfbz HTTP/1.1" 200 11787
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:53 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:53 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:38:53 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435133817 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:40:01 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 15548
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:40:01 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:40:01 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:40:01 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435201488 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:45:59 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 19039
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:45:59 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:45:59 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:45:59 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:45:59 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435559422 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:46:00 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 19039
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:46:00 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:46:00 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:46:00 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:46:00 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435560830 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:42 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2017 HTTP/1.1" 200 16665
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:42 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:42 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:43 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435723014 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:50 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2017 HTTP/1.1" 200 16665
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:50 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:51 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:51 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435731055 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:52 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 17482
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:53 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:53 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:53 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435733105 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:50:31 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 19039
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:50:31 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:50:31 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
